"","SD","Median","relabundance","Prevalance"
"Abiotrophia",4.51207139542935e-06,0,0.000114536074557767,0
"Acanthopleuribacter",3.52267613802893e-06,0,4.15151364187383e-05,0
"Acetitomaculum",1.26976964646933e-06,0,1.49643787927218e-05,0
"Acetivibrio",3.52267613802893e-06,0,4.15151364187383e-05,0
"Acetoanaerobium",4.99577843259012e-06,0,0.000134399536160241,0
"Acetobacter",1.61114077768386e-06,0,2.69923973367008e-05,0
"Acetobacterium",4.83836737301023e-06,0,8.11920079767697e-05,0
"Acetonema",9.53310712389749e-07,0,1.12348744884762e-05,0
"Acholeplasma",7.58540616555783e-06,0,0.000335249929934598,0
"Achromobacter",0.00221339382629324,0,0.0263176780312267,0.0138888888888889
"Acidaminobacter",2.99196738632081e-06,0,7.17280621740811e-05,0
"Acidaminococcus",6.6755721990861e-06,0,0.000249679737482158,0
"Aciditerrimonas",2.35485613630975e-06,0,2.7752245711723e-05,0
"Acidithiobacillus",5.98268180709642e-06,0,0.000230137339034135,0
"Acidocella",4.80912006507068e-06,0,0.000130570495849471,0
"Acidovorax",8.2591516000247e-06,0,0.000442838576782805,0
"Acinetobacter",0.0771521069412188,0.0194059258272516,2.14956830160159,0.194444444444444
"Acrocarpospora",1.0648781541484e-06,0,1.25497093989292e-05,0
"Actinoallomurus",2.87434770365986e-06,0,3.38745125457645e-05,0
"Actinobacillus",2.80361665178813e-05,0,0.00109272579922874,0
"Actinobaculum",2.33689640075833e-06,0,4.83297760427189e-05,0
"Actinocatenispora",4.55216455933961e-06,0,0.000111966444911974,0
"Actinocorallia",3.71749437036871e-06,0,0.000107545522626947,0
"Actinokineospora",5.9347719958647e-06,0,0.000178386293017718,0
"Actinomadura",2.90513643727349e-06,0,7.67084798238893e-05,0
"Actinomyces",4.86962341990307e-05,0.000468313882696739,0.00248819771278291,0
"Actinophytocola",2.10399604016492e-06,0,2.47958311265044e-05,0
"Actinoplanes",8.94505024090062e-06,0,0.000262299498131302,0
"Actinopolymorpha",2.87447001403185e-06,0,4.71138292500773e-05,0
"Actinopolyspora",1.8410747146904e-06,0,3.07389186555129e-05,0
"Actinotalea",2.5716182749235e-06,0,5.31822512795657e-05,0
"Actinotignum",5.6253071571167e-06,0,0.000209183493781134,0
"Advenella",1.88474356215129e-06,0,2.22119158932478e-05,0
"Aeribacillus",1.24151835868062e-06,0,1.46314341731777e-05,0
"Aerococcus",0.000253209938107902,0.00128771639419349,0.00740440329241189,0.0277777777777778
"Aeromicrobium",5.67936125261329e-05,0,0.000698828242674678,0
"Aeromonas",0.000245020986175669,0.0011461279488092,0.012488973245801,0
"Aestuariispira",3.52129877874906e-06,0,7.99965841188099e-05,0
"Agaribacter",3.86646317964952e-06,0,7.23155007294622e-05,0
"Aggregatibacter",2.75713300621942e-06,0,7.36876515214668e-05,0
"Agrococcus",7.51167031368152e-06,0,0.000161496035870528,0
"Agromyces",3.71451315603546e-06,0,0.000107878161652949,0
"Aidingimonas",4.18816072968606e-06,0,6.47574714893678e-05,0
"Albidovulum",1.62173015271443e-06,0,1.91122731373179e-05,0
"Alcanivorax",2.4053367178226e-06,0,4.93836755285228e-05,0
"Algicola",1.37520369219834e-05,0,0.000437263696036897,0
"Algimonas",2.64402150420427e-06,0,7.15220770165912e-05,0
"Algiphilus",1.88474356215129e-06,0,2.22119158932478e-05,0
"Algoriphagus",5.46490033385019e-06,0,0.000107998875197326,0
"Alicyclobacillus",1.18506142928546e-05,0,0.000785191478251342,0
"Aliidiomarina",2.1422758533365e-06,0,3.59082215730456e-05,0
"Aliiglaciecola",5.34651124006206e-06,0,0.000173119575293077,0
"Alishewanella",1.05422066703991e-05,0,0.000512305280309938,0
"Alkalibacillus",4.39701163675692e-06,0,0.000130591171703328,0
"Alkalibacter",1.42708011670531e-06,0,1.68183004636469e-05,0
"Alkalibacterium",1.51038194960144e-05,0,0.000923488653808222,0
"Alkalimonas",4.54726266226372e-06,0,0.000104105106461815,0
"Alkaliphilus",2.99325291398322e-06,0,5.91257415870932e-05,0
"Alkanindiges",5.72432552824808e-05,0,0.00135428964403509,0
"Alloactinosynnema",2.43408575908788e-06,0,2.86859757706774e-05,0
"Allobacillus",4.32438976851364e-06,0,0.000123138268052339,0
"Allobaculum",2.86633953665981e-06,0,6.57898121036807e-05,0
"Allocatelliglobosispora",2.92230649434301e-06,0,4.88462804026374e-05,0
"Allochromatium",2.01689927870004e-06,0,4.16613947133353e-05,0
"Allofustis",4.02367826515571e-06,0,5.85656716323536e-05,0
"Alloiococcus",4.27003103754506e-06,0,0.000106224619829554,0
"Allonocardiopsis",8.7379334779947e-07,0,1.0297753359745e-05,0
"Alloscardovia",2.16826926548588e-06,0,3.63665205722961e-05,0
"Alpinimonas",4.37287970397764e-06,0,9.56394368614736e-05,0
